sub_region_1,Short
Brazil,BR
Federal District,DF
State of Acre,AC
State of Alagoas,AL
State of Amapá,AP
State of Amazonas,AM
State of Bahia,BA
State of Ceará,CE
State of Espírito Santo,ES
State of Goiás,GO
State of Maranhão,MA
State of Mato Grosso,MT
State of Mato Grosso do Sul,MS
State of Minas Gerais,MG
State of Pará,PA
State of Paraíba,PB
State of Paraná,PR
State of Pernambuco,PE
State of Piauí,PI
State of Rio de Janeiro,RJ
State of Rio Grande do Norte,RN
State of Rio Grande do Sul,RS
State of Rondônia,RO
State of Roraima,RR
State of Santa Catarina,SC
State of São Paulo,SP
State of Sergipe,SE
State of Tocantins,TO
